Player;Tot;NBA;ABA;isAllStar
Kareem Abdul-Jabbar;19;19;0;TRUE
Kobe Bryant;18;18;0;TRUE
Julius Erving;16;11;5;TRUE
LeBron James;16;16;0;TRUE
Tim Duncan;15;15;0;TRUE
Kevin Garnett;15;15;0;TRUE
Shaquille O'Neal;15;15;0;TRUE
Michael Jordan;14;14;0;TRUE
Karl Malone;14;14;0;TRUE
Dirk Nowitzki;14;14;0;TRUE
Jerry West;14;14;0;TRUE
Wilt Chamberlain;13;13;0;TRUE
Bob Cousy;13;13;0;TRUE
John Havlicek;13;13;0;TRUE
Moses Malone;13;12;1;TRUE
Dwyane Wade;13;13;0;TRUE
Rick Barry;12;8;4;TRUE
Larry Bird;12;12;0;TRUE
George Gervin;12;9;3;TRUE
Elvin Hayes;12;12;0;TRUE
Magic Johnson;12;12;0;TRUE
Hakeem Olajuwon;12;12;0;TRUE
Oscar Robertson;12;12;0;TRUE
Bill Russell;12;12;0;TRUE
Dolph Schayes;12;12;0;TRUE
Isiah Thomas;12;12;0;TRUE
Charles Barkley;11;11;0;TRUE
Elgin Baylor;11;11;0;TRUE
Chris Bosh;11;11;0;TRUE
Patrick Ewing;11;11;0;TRUE
Artis Gilmore;11;6;5;TRUE
Allen Iverson;11;11;0;TRUE
Bob Pettit;11;11;0;TRUE
Ray Allen;10;10;0;TRUE
Carmelo Anthony;10;10;0;TRUE
Paul Arizin;10;10;0;TRUE
Clyde Drexler;10;10;0;TRUE
Kevin Durant;10;10;0;TRUE
Hal Greer;10;10;0;TRUE
Jason Kidd;10;10;0;TRUE
Chris Paul;10;10;0;TRUE
Paul Pierce;10;10;0;TRUE
David Robinson;10;10;0;TRUE
John Stockton;10;10;0;TRUE
Robert Parish;9;9;0;TRUE
Gary Payton;9;9;0;TRUE
Russell Westbrook;9;9;0;TRUE
Lenny Wilkens;9;9;0;TRUE
Dominique Wilkins;9;9;0;TRUE
Vince Carter;8;8;0;TRUE
Dave Cowens;8;8;0;TRUE
Dave DeBusschere;8;8;0;TRUE
Alex English;8;8;0;TRUE
Larry Foust;8;8;0;TRUE
James Harden;8;8;0;TRUE
Dwight Howard;8;8;0;TRUE
Bob Lanier;8;8;0;TRUE
Yao Ming;8;8;0;TRUE
Dikembe Mutombo;8;8;0;TRUE
Steve Nash;8;8;0;TRUE
Bill Sharman;8;8;0;TRUE
LaMarcus Aldridge;7;7;0;TRUE
Dave Bing;7;7;0;TRUE
Louie Dampier;7;0;7;TRUE
Mel Daniels;7;0;7;TRUE
Anthony Davis;7;7;0;TRUE
Walt Frazier;7;7;0;TRUE
Harry Gallatin;7;7;0;TRUE
Grant Hill;7;7;0;TRUE
Dan Issel;7;1;6;TRUE
Joe Johnson;7;7;0;TRUE
Jerry Lucas;7;7;0;TRUE
Ed Macauley;7;7;0;TRUE
Slater Martin;7;7;0;TRUE
Tracy McGrady;7;7;0;TRUE
Dick McGuire;7;7;0;TRUE
Kevin McHale;7;7;0;TRUE
Alonzo Mourning;7;7;0;TRUE
Scottie Pippen;7;7;0;TRUE
Willis Reed;7;7;0;TRUE
Jack Sikma;7;7;0;TRUE
Nate Thurmond;7;7;0;TRUE
Chet Walker;7;7;0;TRUE
Jo Jo White;7;7;0;TRUE
James Worthy;7;7;0;TRUE
Tiny Archibald;6;6;0;TRUE
Larry Costello;6;6;0;TRUE
Stephen Curry;6;6;0;TRUE
Adrian Dantley;6;6;0;TRUE
Walter Davis;6;6;0;TRUE
Joe Dumars;6;6;0;TRUE
Pau Gasol;6;6;0;TRUE
Paul George;6;6;0;TRUE
Blake Griffin;6;6;0;TRUE
Richie Guerin;6;6;0;TRUE
Cliff Hagan;6;5;1;TRUE
Tom Heinsohn;6;6;0;TRUE
Bailey Howell;6;6;0;TRUE
Lou Hudson;6;6;0;TRUE
Kyrie Irving;6;6;0;TRUE
Neil Johnston;6;6;0;TRUE
Jimmy Jones;6;0;6;TRUE
Shawn Kemp;6;6;0;TRUE
Kyle Lowry;6;6;0;TRUE
George McGinnis;6;3;3;TRUE
Vern Mikkelsen;6;6;0;TRUE
Jermaine O'Neal;6;6;0;TRUE
Tony Parker;6;6;0;TRUE
Mitch Richmond;6;6;0;TRUE
Amar'e Stoudemire;6;6;0;TRUE
Jack Twyman;6;6;0;TRUE
George Yardley;6;6;0;TRUE
Zelmo Beaty;5;2;3;TRUE
Chauncey Billups;5;5;0;TRUE
Carl Braun;5;5;0;TRUE
Jimmy Butler;5;5;0;TRUE
Mack Calvin;5;0;5;TRUE
Billy Cunningham;5;4;1;TRUE
Brad Daugherty;5;5;0;TRUE
Wayne Embry;5;5;0;TRUE
Donnie Freeman;5;0;5;TRUE
Tom Gola;5;5;0;TRUE
Gail Goodrich;5;5;0;TRUE
Tim Hardaway;5;5;0;TRUE
Connie Hawkins;5;4;1;TRUE
Spencer Haywood;5;4;1;TRUE
Al Horford;5;5;0;TRUE
Dennis Johnson;5;5;0;TRUE
Gus Johnson;5;5;0;TRUE
Marques Johnson;5;5;0;TRUE
Bobby Jones;5;4;1;TRUE
Sam Jones;5;5;0;TRUE
Larry Kenon;5;2;3;TRUE
Rudy LaRusso;5;5;0;TRUE
Damian Lillard;5;5;0;TRUE
Kevin Love;5;5;0;TRUE
Maurice Lucas;5;4;1;TRUE
Pete Maravich;5;5;0;TRUE
Bob McAdoo;5;5;0;TRUE
Reggie Miller;5;5;0;TRUE
Sidney Moncrief;5;5;0;TRUE
Chris Mullin;5;5;0;TRUE
Don Ohl;5;5;0;TRUE
Andy Phillip;5;5;0;TRUE
Charlie Scott;5;3;2;TRUE
Gene Shue;5;5;0;TRUE
Ralph Simpson;5;0;5;TRUE
David Thompson;5;4;1;TRUE
Klay Thompson;5;5;0;TRUE
Rudy Tomjanovich;5;5;0;TRUE
Wes Unseld;5;5;0;TRUE
John Wall;5;5;0;TRUE
Bobby Wanzer;5;5;0;TRUE
Chris Webber;5;5;0;TRUE
Paul Westphal;5;5;0;TRUE
Giannis Antetokounmpo;4;4;0;TRUE
Vin Baker;4;4;0;TRUE
Walt Bellamy;4;4;0;TRUE
Otis Birdsong;4;4;0;TRUE
Rolando Blackman;4;4;0;TRUE
Ron Boone;4;0;4;TRUE
Roger Brown;4;0;4;TRUE
Joe Caldwell;4;2;2;TRUE
Tom Chambers;4;4;0;TRUE
Maurice Cheeks;4;4;0;TRUE
Doug Collins;4;4;0;TRUE
DeMarcus Cousins;4;4;0;TRUE
Bob Dandridge;4;4;0;TRUE
Bob Davies;4;4;0;TRUE
DeMar DeRozan;4;4;0;TRUE
Dick Garmaker;4;4;0;TRUE
Johnny Green;4;4;0;TRUE
Anfernee Hardaway;4;4;0;TRUE
Mel Hutchins;4;4;0;TRUE
Warren Jabali;4;0;4;TRUE
Larry Jones;4;0;4;TRUE
Bernard King;4;4;0;TRUE
Bill Laimbeer;4;4;0;TRUE
Kawhi Leonard;4;4;0;TRUE
Clyde Lovellette;4;4;0;TRUE
Shawn Marion;4;4;0;TRUE
George Mikan;4;4;0;TRUE
Paul Millsap;4;4;0;TRUE
